1,987654321,976543210,1,2024-01-10
2,976543210,965432109,0,2024-01-11
3,965432109,954321098,1,2024-01-12
4,954321098,943210987,1,2024-01-13
5,943210987,932109876,0,2024-01-14
6,932109876,921098765,1,2024-01-15
7,921098765,910987654,1,2024-01-16
8,910987654,909876543,0,2024-01-17
9,909876543,910987654,1,2024-01-18
10,910987654,987654321,1,2024-01-19
11,987654321,965432109,0,2024-01-20
12,976543210,954321098,1,2024-01-21
13,965432109,943210987,1,2024-01-22
14,954321098,932109876,0,2024-01-23
15,943210987,921098765,1,2024-01-24
16,932109876,910987654,1,2024-01-25
17,921098765,909876543,0,2024-01-26
18,910987654,954321098,1,2024-01-27
19,909876543,987654321,1,2024-01-28
20,910987654,976543210,0,2024-01-29
